                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 1.2273,                0.86755,                 1.2377,                0.83246,                0.80572,                0.87832,                0.56729,                 1.2796,                0.82946,                 1.2546,              0.0065067,              0.0065067,              0.0065067
                    133,                 1.2309,                0.86926,                 1.2465,                0.81866,                0.81636,                 0.8801,                0.56533,                 1.2709,                0.82728,                 1.2505,                0.00648,                0.00648,                0.00648
                    134,                 1.2317,                0.86669,                 1.2419,                0.83842,                0.80181,                0.87596,                0.56104,                 1.2853,                0.83728,                 1.2631,              0.0064533,              0.0064533,              0.0064533
                    135,                 1.2155,                0.86416,                 1.2371,                0.85092,                0.79582,                0.88662,                0.57088,                 1.2838,                0.81913,                 1.2592,              0.0064267,              0.0064267,              0.0064267
                    136,                 1.2279,                0.87842,                 1.2372,                0.82764,                0.80217,                0.87842,                0.56337,                 1.2903,                0.82548,                 1.2622,                 0.0064,                 0.0064,                 0.0064
                    137,                 1.2186,                0.86612,                  1.236,                0.83524,                0.79978,                0.88051,                 0.5708,                 1.2908,                0.82642,                  1.271,              0.0063733,              0.0063733,              0.0063733
                    138,                 1.2282,                0.87642,                 1.2349,                0.83711,                0.80362,                0.88041,                0.56421,                 1.3049,                0.83044,                 1.2778,              0.0063467,              0.0063467,              0.0063467
                    139,                 1.2204,                0.86046,                 1.2361,                0.85524,                0.78186,                0.88078,                0.56418,                 1.2954,                 0.8246,                 1.2742,                0.00632,                0.00632,                0.00632
                    140,                 1.2192,                 0.8485,                 1.2285,                0.84888,                0.77837,                0.87735,                0.56858,                 1.2867,                0.81435,                 1.2541,              0.0062933,              0.0062933,              0.0062933
                    141,                 1.2243,                0.85246,                 1.2284,                0.85281,                0.78819,                0.87321,                0.56565,                 1.2791,                0.82476,                 1.2528,              0.0062667,              0.0062667,              0.0062667
                    142,                 1.2104,                0.84994,                 1.2301,                0.81612,                0.81624,                 0.8765,                0.56489,                 1.2911,                0.82365,                 1.2631,                0.00624,                0.00624,                0.00624
                    143,                 1.2253,                0.86088,                 1.2379,                0.85796,                0.77861,                0.87985,                0.56903,                 1.2838,                0.82001,                 1.2515,              0.0062133,              0.0062133,              0.0062133
                    144,                 1.2151,                0.85703,                 1.2287,                0.83701,                0.82533,                0.88808,                0.56977,                 1.2894,                0.81448,                 1.2464,              0.0061867,              0.0061867,              0.0061867
                    145,                 1.2095,                0.83781,                 1.2231,                0.82546,                0.82849,                0.88782,                0.57198,                 1.2621,                 0.8031,                 1.2265,                0.00616,                0.00616,                0.00616
                    146,                 1.2163,                0.84991,                 1.2267,                0.83886,                0.81988,                 0.8863,                0.57278,                 1.2776,                0.81064,                 1.2424,              0.0061333,              0.0061333,              0.0061333
                    147,                 1.2221,                0.86285,                 1.2309,                0.83795,                0.81877,                0.88979,                0.57632,                  1.281,                0.81097,                 1.2434,              0.0061067,              0.0061067,              0.0061067
                    148,                 1.2178,                0.85949,                 1.2369,                 0.8191,                0.83017,                0.88703,                0.57145,                 1.2798,                0.81712,                 1.2403,                0.00608,                0.00608,                0.00608
                    149,                  1.202,                0.84607,                  1.223,                 0.8353,                 0.8089,                0.88448,                0.57521,                 1.2628,                0.81019,                  1.234,              0.0060533,              0.0060533,              0.0060533
